Business_ID,Cuisine,Rating,Num_of_Reviews
wobICp6lQP7Y6dfnJ_4Ujw,chinese,2.5,439.0
lynQoI3w_pzYfHGeuUU-Qg,chinese,4.5,650.0
_XLLSXPIjgoZQtwU3RCcQA,chinese,4.0,274.0
0CjK3esfpFcxIopebzjFxA,chinese,4.0,5672.0
X8ZS-dgiMIJvhwf9SaDnjw,chinese,4.5,1152.0
wfhMIiMh2A2psCGONOVSlg,chinese,4.0,1109.0
xH7mEjh4Rn6KdHjXYNoOjw,chinese,3.5,684.0
xq0cX_DgxiJMXwhmEl9kUA,chinese,4.0,1368.0
FXhSEZfIqjMZh4hR0_8jMQ,chinese,4.0,371.0
vZgJyMZlpSSS_Y-duxd4_A,chinese,4.0,259.0
0dDCDQz7DrKkSvu9h2hcQw,chinese,4.5,218.0
ojbH3wnRu050hRhkmoxRiA,chinese,4.0,510.0
V9cBgn2RFLurwg6lwuLH7w,chinese,4.0,210.0
U2aUFZARLeSMf4RQIxjuTw,chinese,4.5,84.0
dDXtga5Kgo5B1twdezcZJA,chinese,3.5,319.0
ZCAkVl5SeCDeBWg_xjfYeg,chinese,4.5,227.0
xCHApgtkLpEyh0lz-uhZvg,chinese,4.0,235.0
3fQ9IExhN9KMqGHVm_9AEQ,chinese,4.0,51.0
0k678lCWQyReNi0lARlOmw,chinese,4.0,602.0
BkXb82Y2OIsQ5RpNNQOYmQ,chinese,4.0,90.0
bVkjBJlAIwKAj9Aw1KVWjA,chinese,4.0,966.0
LpVbI-E9C-CSp7WhU5h2Iw,chinese,4.5,486.0
SVJNB9LqI13jtVyKMZVqeg,chinese,4.0,430.0
rPTX2J5KGDkN1QhPD-QOvg,chinese,4.5,93.0
3W6S2wraTAj5y4Cd8eQvvw,chinese,4.0,138.0
ynB8T3htx8s5V0YV8gVPGA,chinese,4.0,401.0
AvTezlpt3GXTdSEnXbHP4w,chinese,4.0,354.0
v0opDMezc6pKgdfR22KUnQ,chinese,4.5,48.0
6tASYtO9zOrXr8-LPnAToQ,chinese,4.0,469.0
