Business_ID,Cuisine,Rating,Num_of_Reviews,Recommended
MNNpsRXe7Wt5m3Jla9Wk0w,mexican,5.0,671.0,1
VVe74-TKuROBvyS1XgVmvw,mexican,5.0,330.0,1
UtknyDJ_DPut-FKRqs0wpQ,indian,5.0,245.0,1
AFt1Qcec4_JNr6PWpkRYyw,sushi,5.0,204.0,1
3rZwXDjkyDLAHNSdPUI5WA,indian,5.0,166.0,1
RfxOtJ4SQmEeVX_XjFLWUQ,american,5.0,163.0,1
6tJB7AWwVzccgJdOMWUYkQ,sushi,5.0,143.0,1
2UxAkvKkkWNwqZi9H0OzWw,chinese,5.0,131.0,1
qoBcWhGwlcUsKIQ2nB22vA,italian,5.0,85.0,1
NWHrF-8HC7yIKMXop6n-0Q,american,5.0,84.0,1
ynR4-QgEOsE7VhNfIWo73w,sushi,5.0,79.0,1
YdFFUP3-PBzBsE3j75XwaQ,italian,5.0,77.0,1
sbbrNeGvSAUdrhcIm2MTsg,american,5.0,77.0,1
qgY41g_eg0eNzewCXmKcaA,italian,5.0,75.0,1
PGpCaNkB1meojnbgRmb2gQ,american,5.0,71.0,1
aQZxNF1j3T_pKCOpGD79cg,mexican,5.0,68.0,1
_7-wGQfXNgbr-WDIMzUvZw,american,5.0,68.0,1
eT39RKlQ8i5Z4ml0ZwUK-Q,american,5.0,64.0,1
fZOmB4eaVlnf6LIejL2vBg,indian,5.0,63.0,1
B_kcyXzmkJlFI9pSl7PHvw,sushi,5.0,53.0,1
M-AcAh1C_eQfhzGk6ZmOSQ,american,5.0,50.0,1
V-aujIl_JGbPKghVkSr4sQ,sushi,5.0,50.0,1
q2bIyvU8CQwiB6xe_iVs0g,chinese,5.0,45.0,1
EXsorzjQ3y3Oh5-m82lgtg,sushi,5.0,44.0,1
ddFY9PpygYagv7-jVduB2Q,mexican,5.0,42.0,1
jF9hIgD5MvZBXyKvztUtSA,mexican,5.0,40.0,1
MIaM6XD8nW-y89GaXxs-pw,mexican,5.0,39.0,1
5z17B673aI4MSWkKB1DsjA,italian,5.0,38.0,1
oW25x1w-Zv6CmprrT_R4Hw,american,5.0,38.0,1
vWa8iPUYDGAMSBCqMwJylQ,italian,5.0,37.0,1
TZG0qTIGdeOtCkBrSU6v0Q,sushi,5.0,37.0,1
UrJkrJ5HsVGyLE2dogiUCA,italian,5.0,36.0,1
RXGa5YeRxilvUQFmbFPopQ,indian,5.0,36.0,1
VhN7u8-4c1QtPlNuA_HocA,american,5.0,34.0,1
9ZNxYreHqLSsI48s2IohUw,sushi,5.0,34.0,1
1wrryUsb7gmpehr_c9wZ7A,italian,5.0,30.0,1
EoAjAq8ha3mW25rMQTcNHw,american,5.0,30.0,1
