Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
LJtq4TugycFgNN5AoJvc5Q,Posh Pop Bakeshop,192 Bleecker St,"{'latitude': 40.7291965397419, 'longitude': -74.0015334018494}",13,5.0,10012
-u5usGYF-cLqf9FMmApinw,Cafe 11-11,352 Broadway,"{'latitude': 40.70758, 'longitude': -73.9558796}",3,5.0,11211
C-8mGN7lt5rIraO5n-15ug,The Smith,956 2nd Ave,"{'latitude': 40.755165, 'longitude': -73.967868}",2321,4.0,10022
IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,64 W 39th St,"{'latitude': 40.75264, 'longitude': -73.98502}",1210,4.0,10018
8JDwcklaawqYprHg0c9aIA,The Brooklyn Tree,188 Montrose Ave,"{'latitude': 40.70734, 'longitude': -73.94186}",125,4.5,11206
sVG1whNWHhlbjP6p027YcA,Brindle Room,277 E 10th St,"{'latitude': 40.72829, 'longitude': -73.98271}",969,4.0,10009
0yMlU3xbdawYFXmjNc0dhw,The Harrow New York,720 10th Ave,"{'latitude': 40.76419, 'longitude': -73.99182}",128,4.5,10019
_0WFGjXuenlBixOlbSlGeQ,Crown Shy,70 Pine St,"{'latitude': 40.7063449, 'longitude': -74.0076944}",10,4.5,10005
zRXMvxUX_rOliKZPpkWi_g,Valerie,45 W 45th St between 5th & 6th Ave,"{'latitude': 40.756354, 'longitude': -73.981129}",68,4.5,10036
EJI_GuWlyYgZ3Os8CM2_RA,NY Bagel Cafe & Deli,501 Kings Hwy,"{'latitude': 40.60446, 'longitude': -73.97091}",2,3.0,11223
K9_vumaLO80LXgoPNJJvRQ,The Terrace at EDITION,701 7th Ave,"{'latitude': 40.75923, 'longitude': -73.9841}",3,5.0,10036
0EtZ1xhnXWp4-ysNVwItYA,Distilled,211 W Broadway,"{'latitude': 40.7189994, 'longitude': -74.0062975}",750,4.0,10013
8OQk4tkIWNzpYBtLbzAMPA,Sizzling Republic,89-08 Queens Blvd,"{'latitude': 40.7344615334838, 'longitude': -73.8744836587502}",4,5.0,11373
