Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
wobICp6lQP7Y6dfnJ_4Ujw,Shun Lee West,43 W 65th St,"{'latitude': 40.7727826, 'longitude': -73.9811626}",439,2.5,10023
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge St,"{'latitude': 40.7184290357839, 'longitude': -73.9916928979573}",650,4.5,10002
_XLLSXPIjgoZQtwU3RCcQA,Hunan Delight,752 Union St,"{'latitude': 40.6755282563532, 'longitude': -73.9780712127686}",274,4,11215
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,9 Pell St,"{'latitude': 40.7146691442891, 'longitude': -73.9977602206654}",5672,4,10013
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1 Fast Food,79 Chrystie St,"{'latitude': 40.71735, 'longitude': -73.99457}",1152,4.5,10002
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,"{'latitude': 40.732072, 'longitude': -73.988074}",1109,4,10003
xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,148 Lawrence St,"{'latitude': 40.6918206366101, 'longitude': -73.9863992364001}",684,3.5,11201
xq0cX_DgxiJMXwhmEl9kUA,Café China,13 E 37th St,"{'latitude': 40.7499225208569, 'longitude': -73.9819464127197}",1368,4,10016
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,"{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",371,4,10036
vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,20 Skillman Ave,"{'latitude': 40.71512, 'longitude': -73.95097}",259,4,11211
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,"{'latitude': 40.72915, 'longitude': -74.00072}",218,4.5,10012
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,"{'latitude': 40.78752, 'longitude': -73.97647}",510,4,10024
V9cBgn2RFLurwg6lwuLH7w,The Wei,30 Dekalb Ave,"{'latitude': 40.68983, 'longitude': -73.98171}",210,4,11201
U2aUFZARLeSMf4RQIxjuTw,Lucky House Kitchen,343 Lewis Ave,"{'latitude': 40.6838402152061, 'longitude': -73.9351565390825}",84,4.5,11233
