Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,179 Essex St,"{'latitude': 40.72191, 'longitude': -73.98666}",1330,4.5,10002
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,58 W 56th St,"{'latitude': 40.763167, 'longitude': -73.977131}",1487,4.5,10019
WWpOWqOgS9ClYvxYVzR0lg,Tikka Indian Grill Restaurant & Catering,185 Grand St,"{'latitude': 40.71441, 'longitude': -73.96078}",277,4.5,11211
lxNU-aBq0yPwBDx-i89ahA,Seva Indian Cuisine,3007 34th St,"{'latitude': 40.7653633, 'longitude': -73.9191014}",1115,4.5,11103
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,1724 2nd Ave,"{'latitude': 40.78002, 'longitude': -73.94978}",388,4.5,10128
_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,10 Murray St,"{'latitude': 40.71334, 'longitude': -74.0081}",254,4.0,10007
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,6 Clinton St,"{'latitude': 40.7210905, 'longitude': -73.9840446}",274,4.5,10002
1_pK5aQ47atF50oAKHADhA,Indian Accent,123 W 56th St,"{'latitude': 40.7643344624229, 'longitude': -73.9787312885132}",473,4.5,10019
ik7LcD1fkzVbVQ6Sntd4LA,Indian Spice,351 7th Ave,"{'latitude': 40.6660303077582, 'longitude': -73.9819402992725}",143,4.0,11215
iXSuNKKUBIrBX7zUerlQDQ,Benares,45 Murray Street,"{'latitude': 40.7142, 'longitude': -74.00917}",416,4.0,10007
kS2CP48K66yL2TwIhUqy_A,Tamarind,99 Hudson St,"{'latitude': 40.71909, 'longitude': -74.00892}",824,4.0,10013
7DUPGtHqVZHJ3yIufbWLsg,Malai Marke Indian Cuisine,318 E 6th St,"{'latitude': 40.726934, 'longitude': -73.98758}",522,4.0,10003
AlfkFxfD-cUBGA3Eq3j0Uw,Mahal Kita,184 Havemeyer St,"{'latitude': 40.7106773, 'longitude': -73.9582807}",249,4.0,11211
HEs6llkn3wIP1ATXeIZQew,Pippali,129 E 27th St,"{'latitude': 40.74233, 'longitude': -73.98331}",665,4.0,10016
EKY8DwZVWpkgv6IWrepbWg,Namaste,195 5th Ave,"{'latitude': 40.676687, 'longitude': -73.979965}",172,4.0,11217
YDtIHtfvWd4W36wq6UAjoA,Kitchen Grill Indian Restaurant,914A Fulton St,"{'latitude': 40.6827929, 'longitude': -73.9644377}",214,4.5,11238
BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,234 Court St,"{'latitude': 40.6859591, 'longitude': -73.9941661}",83,4.0,11201
ZqOxAKVZEZTa4XS4zthp3Q,Bombay Grill,1176 Bedford Ave,"{'latitude': 40.6839, 'longitude': -73.9541799}",170,4.5,11216
ogEtpbCgxv38PyB3ebivqQ,Yaar Indian Restaurant,22-55 31st St,"{'latitude': 40.774803026853, 'longitude': -73.9120166023413}",360,4.5,11105
NgD-6ogFGc_c4z5_Ur4k2g,Dhaba Indian Cuisine,108 Lexington Ave,"{'latitude': 40.742364, 'longitude': -73.982813}",1441,3.5,10016
c76v7CGWWjWj__18Mv2j5w,Ayna Agra Indian Restaurant,213-35 39th Ave,"{'latitude': 40.7655067, 'longitude': -73.7716797}",344,4.0,11361
CO3lm5309asRY7XG5eXNgg,Rahi,60 Greenwich Ave,"{'latitude': 40.7360271, 'longitude': -74.0005436}",328,4.5,10011
dGE1Imqoz1vdHa2cjfvO1w,Gandhi Fine Indian Cuisine,2032 Bedford Ave,"{'latitude': 40.6552099, 'longitude': -73.95648}",348,4.0,11226
FvnExtQHPfz_crDCBTQ1iQ,Mint Masala,95 Macdougal St,"{'latitude': 40.72953, 'longitude': -74.00115}",281,4.0,10012
Na55QhymZh3cje8Ac2vCvg,Nimbooda,664 Washington Ave,"{'latitude': 40.67825, 'longitude': -73.96419}",146,4.0,11238
k1XZsff99d2JyX_jLwCaAA,Taj Mahal Indian Restaurant,7315 3rd Ave,"{'latitude': 40.63234, 'longitude': -74.02709}",317,4.0,11209
kQMXY2fshQFGdP8lwDMM6g,Aaheli Indian Cuisine,71-51 Yellowstone Blvd,"{'latitude': 40.7212239, 'longitude': -73.8549107}",174,4.0,11375
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,1393 A 2nd Ave,"{'latitude': 40.7693, 'longitude': -73.95823}",364,4.5,10021
15svH3HiVDwHMSIlRYpk6A,Ashoka Indian Restaurant,489 Columbus Ave,"{'latitude': 40.78476, 'longitude': -73.97303}",228,4.5,10024
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,329 3rd Ave,"{'latitude': 40.739692, 'longitude': -73.982116}",332,4.0,10010
iXrKGRzIZK0pp31mO3nBzA,Spice & Grill,441 Myrtle Ave,"{'latitude': 40.6933894, 'longitude': -73.9679912}",113,4.5,11205
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,338 E 92nd St,"{'latitude': 40.78098, 'longitude': -73.94751}",867,4.5,10128
hevbe9F6sYPguKO5whPSlA,India's Curry,1926 Bath Ave,"{'latitude': 40.60197, 'longitude': -74.00312}",69,4.5,11214
