Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,"{'latitude': 40.733714, 'longitude': -74.005068}",1654,4.5,10014
IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,649 Washington St,"{'latitude': 40.73285, 'longitude': -74.00847}",1181,4,10014
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,"{'latitude': 40.75998, 'longitude': -73.98671}",2042,4,10036
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,"{'latitude': 40.72275, 'longitude': -73.99622}",1854,4,10012
Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,"{'latitude': 40.7229, 'longitude': -73.98527}",1217,4,10009
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,129 MacDougal St,"{'latitude': 40.73069, 'longitude': -74.00015}",1392,4,10012
04exhf1PZ79_Km9vHAzvfA,Pepe Rosso Social,173 Mott St,"{'latitude': 40.72007, 'longitude': -73.99618}",764,4,10013
abZ-mEvF6Tj4hfyIg0lKwQ,Vite Vinosteria,31-05 34th St,"{'latitude': 40.7629734277725, 'longitude': -73.92119564116}",531,4.5,11106
jdNdy-MwBtnXoBGC_JVvwQ,Gaia Italian Café,251 E Houston St,"{'latitude': 40.721653, 'longitude': -73.985346}",935,4.5,10002
OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,"{'latitude': 40.7722, 'longitude': -73.95566}",2158,4,10075
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,21 Ann St,"{'latitude': 40.71087, 'longitude': -74.00753}",390,4,10038
XvEz60Y0NbLxooK9AmRU8g,Piccoli Trattoria,522 6th Ave,"{'latitude': 40.6650986895797, 'longitude': -73.9864727962952}",437,4,11215
qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,331 Henry St,"{'latitude': 40.69023, 'longitude': -73.99634}",75,5,11201
dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,126 E 7th St,"{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}",538,4,10009
0SakkRuHhECsDsZ8mRkisQ,IL Triangolo Restaurant,96-01 Corona Ave,"{'latitude': 40.742591, 'longitude': -73.86736}",416,4.5,11368
ry0nAQiUn8bpNAruY_5wfw,Scalino,659 Manhattan Ave,"{'latitude': 40.7244699, 'longitude': -73.95151}",206,4,11222
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,"{'latitude': 40.75641, 'longitude': -73.98547}",1886,4,10036
kr5fRwdHtVwPPwSJxm9Fkg,Il Posto Accanto,190 E 2nd St,"{'latitude': 40.72238, 'longitude': -73.98403}",185,4.5,10009
0Tvwk0hvgaY0QVIsZGTZKQ,Antica Ristorante,8 Stone St,"{'latitude': 40.7039355145338, 'longitude': -74.0121731758117}",436,4.5,10004
mtmEa4vFYa764G97sqQ9dQ,Sapori D'Italia,105 Mulberry St,"{'latitude': 40.71735, 'longitude': -73.99855}",183,4.5,10013
k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,117 Second Ave,"{'latitude': 40.727989, 'longitude': -73.98845}",960,4,10003
yZJbealagfujEkgesAl2hA,Lupa,170 Thompson St,"{'latitude': 40.7276, 'longitude': -74.000045}",1446,4,10012
xPmCy25F1-uq-1vAP_1TBQ,Piccante,7214-A 3rd Ave,"{'latitude': 40.6331599, 'longitude': -74.02726}",134,4.5,11209
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini Manhattan,218 Lafayette St,"{'latitude': 40.7219179851303, 'longitude': -73.9976472073402}",1068,4,10012
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,"{'latitude': 40.75619, 'longitude': -73.9937}",787,4,10018
eODPY5rejL6CYvN4DEqwrg,Nostro Ristorante,710 5th Ave,"{'latitude': 40.660738, 'longitude': -73.994285}",219,4.5,11215
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,196 Spring St,"{'latitude': 40.72506, 'longitude': -74.00322}",394,4.5,10012
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,88 Madison Ave,"{'latitude': 40.744509, 'longitude': -73.9856}",1771,4,10016
bdKc4CSJPv-XLgxVwrtPrg,Forlini's Restaurant,93 Baxter St,"{'latitude': 40.71695, 'longitude': -73.99957}",372,4.5,10013
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,35 W 13th St,"{'latitude': 40.736218, 'longitude': -73.99597}",702,4,10011
I2lgw_7DUnwD92ND4PN-Ow,Aunt Jake's,149 Mulberry St,"{'latitude': 40.7190315, 'longitude': -73.9977161}",1124,4,10013
16ZnHpuaaBt92XWeJHCC5A,Olio e Piú,3 Greenwich Ave,"{'latitude': 40.733826, 'longitude': -73.999852}",1624,4,10014
1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,21-76 31st St,"{'latitude': 40.7763330374196, 'longitude': -73.9105868339539}",859,4.5,11105
AUifp6IDKzmorCM6vY2fug,Pepe Giallo,195 10th Ave,"{'latitude': 40.7468940064083, 'longitude': -74.0049896784992}",563,4,10011
Z67mgMkN3RfdPEX5mXsyYA,Piacere,351 Broome St,"{'latitude': 40.7196979, 'longitude': -73.9951175}",650,4,10013
tJxAlyeT5PRbUIyJ2wsv-A,Bamonte's,32 Withers St,"{'latitude': 40.716579, 'longitude': -73.951174}",313,4,11211
a4WZUTKn90dOkeY38JHNjQ,Aurora,70 Grand St,"{'latitude': 40.715621, 'longitude': -73.964757}",548,4,11249
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,"{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",759,4,10019
zg9Jrtx9rqTXeaqufSOxHQ,Masseria Dei Vini,887 9th Ave,"{'latitude': 40.7684, 'longitude': -73.98558}",404,4,10019
hV26aNvpfq5g34SI6_gvJA,Mama Rao Cucina Italiana,6408 11th Ave,"{'latitude': 40.6291809, 'longitude': -74.0057526}",182,4.5,11219
zwOAiVT4pAmpNGXzj-t5MA,Lilia,567 Union Ave,"{'latitude': 40.71757, 'longitude': -73.95236}",630,4,11211
_N92SH1Zi-Hbxn_bNHFz0Q,Noodle Pudding,38 Henry St,"{'latitude': 40.69979, 'longitude': -73.99203}",541,4,11201
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,"{'latitude': 40.7574955824307, 'longitude': -73.9866844540098}",3304,4,10036
hpRrYBbKUqv8ewFKDjbjoA,Gersi,316 Court St,"{'latitude': 40.683438, 'longitude': -73.995711}",203,4.5,11231
J0OeDwmh5JBhid0A5GvltA,Il Corallo Trattoria,176 Prince St,"{'latitude': 40.7262073, 'longitude': -74.0018919}",870,4,10012
wTaomJ5xoi-c7R_xKFmcpA,Positano Restaurant,10018 4th Ave,"{'latitude': 40.6127378, 'longitude': -74.0339271}",286,4,11209
eMSTTuOUlKEnSOr8lPp3Xg,Ammazzacaffè,702 Grand St,"{'latitude': 40.7113172, 'longitude': -73.9446243}",114,4.5,11211
aSprnLY-6GkMk1cuv0TMeA,Al Di La Trattoria,248 5th Ave,"{'latitude': 40.675332643247, 'longitude': -73.981340475038}",839,4,11215
fuS39acPaRi38DhSSwEI4Q,Felice,15 Gold St,"{'latitude': 40.70789, 'longitude': -74.00712}",309,4,10038
s5nPO911cYB2chdwqSqT9g,La Nonna Ristorante & Bar,184 Kent Ave,"{'latitude': 40.718468787527, 'longitude': -73.9639185527139}",255,4,11249
rTzojTIarMjh_X7YPliySw,Zio Luigi,42-15 Queens Blvd,"{'latitude': 40.7438632, 'longitude': -73.9220898}",112,4.5,11104
oUVX94JtKyLPXozC2hemCg,Manetta's Ristorante,1076 Jackson Ave,"{'latitude': 40.742935, 'longitude': -73.951929}",341,4,11101
ZfyfGGtr7usMlsQP1LdU2g,Ornella Trattoria Italiana,29-17 23rd Ave,"{'latitude': 40.7748162, 'longitude': -73.9132582}",833,4,11105
15k7iqFbhf4h8L01yggLqg,Song E Napule,146 W Houston St,"{'latitude': 40.72813, 'longitude': -74.00188}",376,4.5,10012
xeC9vn3dxVVzAMR_aFwfXg,IL Brigante,214 Front St,"{'latitude': 40.707492, 'longitude': -74.002571}",342,4,10038
Pu09oBx1ekEZiFt90PsSIw,Tableside Italian Cook Shoppe,345 E 6th St,"{'latitude': 40.7266287, 'longitude': -73.9863384}",194,4.5,10003
26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,"{'latitude': 40.7535386913133, 'longitude': -73.9666010811925}",142,4.5,10022
Gh69oBruvlEieK1FEFkvWg,Queen Italian Restaurant,84 Court St,"{'latitude': 40.691356, 'longitude': -73.991905}",286,4,11201
yETcEIV9G7qxdwPdbivCmQ,Piccola Venezia Restaurant,4201 28th Ave,"{'latitude': 40.764797, 'longitude': -73.911766}",225,4.5,11103
R3gSQGB3aEmVpwbKIgOPqg,Fabio Cucina Italiana,214 E 52nd St,"{'latitude': 40.75667, 'longitude': -73.96912}",256,4.5,10022
z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,145 E 47th St,"{'latitude': 40.75433, 'longitude': -73.97277}",371,4.5,10017
QObHX0yR6zd0WfksRDbJTA,Becco,355 W 46th St,"{'latitude': 40.76083, 'longitude': -73.98981}",2659,3.5,10036
5V4cUVikPN8ALWXBVdjltw,Mariella,492 6th Ave,"{'latitude': 40.6662419, 'longitude': -73.985749}",292,4.5,11215
ZVa3-O6LMxZXSpKG0J1h-w,Piccolo Angolo Restaurant,621 Hudson St,"{'latitude': 40.7378601855952, 'longitude': -74.0058052539825}",510,4,10014
DI_FoHY84hfzTWwlzF76aw,Benito One,174 Mulberry St,"{'latitude': 40.7199876084147, 'longitude': -73.9969271421432}",637,4,10013
3n96VKiKG5Tte8z-U-TaLg,SoleLuna Restaurant,40-01 Queens Blvd,"{'latitude': 40.7439934462309, 'longitude': -73.9240421354771}",336,4.5,11104
b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,2370 Belmont Ave,"{'latitude': 40.854131, 'longitude': -73.886601}",683,4.5,10458
vbGqzhH_exG5HOG1I23kvg,Park Side Restaurant,107-01 Corona Ave,"{'latitude': 40.743843, 'longitude': -73.856118}",654,4,11368
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,"{'latitude': 40.753188, 'longitude': -73.969365}",137,4.5,10017
iXV4FMZPru7BB_nwN_8mVw,Maiella,4610 Center Blvd,"{'latitude': 40.7470416595732, 'longitude': -73.956579002435}",731,4,11109
XHhRAKq6DArQXYhkgvwaow,Spaghetti Incident,231 Eldridge St,"{'latitude': 40.7223153441439, 'longitude': -73.9899454318763}",516,4,10002
mPHPVJ2-8mOR-lFHafrc6w,Evelina,211 Dekalb Ave,"{'latitude': 40.689722, 'longitude': -73.971003}",114,4.5,11205
ffJddI2ICrCz6q_QWrU5VQ,Da Ciro Brooklyn,458 Myrtle Ave,"{'latitude': 40.6931299, 'longitude': -73.96716}",73,4.5,11205
pk89jzL1RsE9U0thf_z6tw,Locanda Verde,377 Greenwich St,"{'latitude': 40.7198601300801, 'longitude': -74.010039072422}",1529,4,10013
ntQ7O1YPMIOrQkynhXRBVg,Manducatis,13-27 Jackson Ave,"{'latitude': 40.7445948529884, 'longitude': -73.9490695847509}",127,4,11101
53ZNJNrT91VgvrI0LFjLNQ,Locanda Vini e Olii,129 Gates Ave,"{'latitude': 40.685007, 'longitude': -73.962943}",286,4,11238
twHJyFgUSd7wzioKQjE7Jw,Galli,45 Mercer St,"{'latitude': 40.72161, 'longitude': -74.00127}",821,4,10013
rJfGgBleDYCVq2rkBr_w-Q,Barano,26 Broadway,"{'latitude': 40.710372, 'longitude': -73.96794}",211,4.5,11249
AAQDZdKhtcX7otmOfOF9nw,Gino's Restaurant,7414 5th Ave,"{'latitude': 40.63, 'longitude': -74.02274}",586,4,11209
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,143 East 49 St,"{'latitude': 40.7556957079225, 'longitude': -73.9717184007168}",197,4,10017
d15lwNLOlLSeaAYqPadntw,Sam's Place,132 E 39th St,"{'latitude': 40.749270880468, 'longitude': -73.977082744053}",220,4,10016
32VbG_XgkZIuye0PV-BxaA,Zero Otto Nove,15 W 21st St,"{'latitude': 40.7407551035259, 'longitude': -73.9914887388588}",442,4,10010
_WttOSi2_ggdvUI6GvaqTg,Da Nonna Rosa,140 7th Ave,"{'latitude': 40.67283, 'longitude': -73.97682}",294,4,11215
1mp7uP6Kz_Zz4UClVfnjFQ,Testo,141 Leonard St,"{'latitude': 40.708324, 'longitude': -73.946988}",174,4.5,11206
vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,"{'latitude': 40.7569159, 'longitude': -73.980516}",1057,4,10036
a0IET3_yCFcO36OqGSsisg,Eataly,200 5th Ave,"{'latitude': 40.74195877796, 'longitude': -73.989716662832}",5231,4,10010
yB4ziqFM_7V8JxJas7CHfA,Ulivo,4 W 28th St,"{'latitude': 40.7447371960713, 'longitude': -73.9880339428782}",243,4,10001
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,"{'latitude': 40.7194089547259, 'longitude': -73.9973777877722}",703,4.5,10013
