Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,"{'latitude': 40.71873, 'longitude': -73.98691}",671,4.5,10002
-u5usGYF-cLqf9FMmApinw,Cafe 11-11,352 Broadway,"{'latitude': 40.70758, 'longitude': -73.9558796}",3,5.0,11211
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,253 Broome St,"{'latitude': 40.718022, 'longitude': -73.990026}",1065,4.0,10002
9aJ1MVTthZw3QjqoG7mPjg,Rosie's,29 E 2nd St,"{'latitude': 40.72492, 'longitude': -73.99079}",607,4.0,10003
SUVMcqAwPHhcRMtfv_djRQ,Varrio 408,412 5th Ave,"{'latitude': 40.670226, 'longitude': -73.9857509}",334,4.5,11215
pG-IkylRFOb-HlaD8NwvvQ,La Loteria,29 7th Ave S,"{'latitude': 40.7307865530978, 'longitude': -74.004135953373}",288,4.0,10014
CfOBb6NU2awo8xclJpKU3g,Chela Modern Mexican,408 5th Ave,"{'latitude': 40.67032, 'longitude': -73.98569}",250,4.5,11215
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,251 West 50th St,"{'latitude': 40.762325, 'longitude': -73.9855741}",1756,4.0,10012
mmAlHhnTDXIohPC3wfl0hQ,Mesa Coyoacan,372 Graham Ave,"{'latitude': 40.715528, 'longitude': -73.944273}",726,4.0,11211
95a04LtXLX6gePhPEwff9A,Amaranto Mexican Restaurant,887 Hart St,"{'latitude': 40.703111, 'longitude': -73.921892}",302,4.5,11237
9_CEU7Wmvmwlyvqr-PJD6w,Ofrenda,113 7th Ave S,"{'latitude': 40.73391, 'longitude': -74.00242}",911,4.0,10014
X2C0_I0seTtjW9uL8e8FBw,Don Chingon,216 Flatbush Ave,"{'latitude': 40.6810431221494, 'longitude': -73.9752403260395}",309,4.5,11217
BbMUXd69i0tlWS2aoppwaQ,El Camion,194 Ave A,"{'latitude': 40.7291, 'longitude': -73.98105}",646,4.0,10009
dgaNriM1VdI2nGochhHE_g,Casa Enrique,5-48 49th Ave,"{'latitude': 40.743404338358, 'longitude': -73.954350367693}",1038,4.0,11101
_Kc_mFOk7zMPDcDhkdJE7A,Toloache Thompson,205 Thompson St,"{'latitude': 40.7286749, 'longitude': -73.9996277}",415,4.0,10012
7bD22UAtH56ikWYslOSIQg,Calexico,1491 2nd Ave,"{'latitude': 40.77259, 'longitude': -73.95588}",554,4.0,10075
nrwOQSXoRXfAYhkdjiUk8g,Toro Loco,15 Stone St,"{'latitude': 40.70421, 'longitude': -74.01208}",118,4.0,10004
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,75 9th Ave,"{'latitude': 40.7425547, 'longitude': -74.0060838}",2617,4.5,10011
6mdT2r5kIOrx-DUlR5bmOg,Cantina Cumbancha,232 N12th St,"{'latitude': 40.71935, 'longitude': -73.95293}",17,5.0,11211
XO6IbZn2oxonPrfcXHK4HA,Casa Mexicana,894 Amsterdam Ave,"{'latitude': 40.7989892, 'longitude': -73.966955}",181,4.0,10025
AUyKmFjpaVLwc3awfUnqgQ,Chela & Garnacha,33-09 36th Ave,"{'latitude': 40.7557171543477, 'longitude': -73.927811292412}",335,4.5,11106
TPN2at7fMDHxeGYuQdQZVA,Homemade Taqueria,7103 Grand Ave,"{'latitude': 40.7279658, 'longitude': -73.8921686}",259,4.0,11378
By8DjoW6JvyLXMbbcafP4w,El Mexicano Restaurant & Coffee,2102 E 15th St,"{'latitude': 40.59858, 'longitude': -73.95653}",173,4.0,11229
xemN4tP9RlK5c-yUT-M71Q,Mamasita Bar & Grill,818 10th Ave,"{'latitude': 40.76733, 'longitude': -73.98945}",884,4.0,10019
mhrLDFTxUzW2koRAzjlt5g,Chavela's,736 Franklin Ave,"{'latitude': 40.673484, 'longitude': -73.957267}",967,4.0,11238
Zk8UgB9MDoIHWFYgAxNlIQ,De Mole,2 Hope St,"{'latitude': 40.71377, 'longitude': -73.95786}",62,4.5,11211
ZZxYVgodx2TxbYwh-0YU1w,Taqueria Tlaxcalli,2103 Starling Ave,"{'latitude': 40.83622, 'longitude': -73.85488}",530,4.5,10462
SPvW-SV2Ed7z8k-QXDUIDg,Tacos Matamoros,4508 5th Ave,"{'latitude': 40.6478187840292, 'longitude': -74.0076383498633}",563,3.5,11220
ci0-GO_iMb0NdTCUYWjocQ,Noche De Margaritas,1726 2nd Ave,"{'latitude': 40.7801018, 'longitude': -73.9497833}",307,4.0,10128
0AWdTQZ97G4rutU0z9Di6g,Fonda East Village,40 Avenue B,"{'latitude': 40.722852, 'longitude': -73.98286}",702,4.0,10009
PAJdNrD4HFBN16OAFeDx4A,Ponche Taqueria & Cantina,420 W 49th St,"{'latitude': 40.76319, 'longitude': -73.99045}",470,4.0,10019
Wm6vj0ekRAzZnaeaBEkOag,Taqueria Downtown,236 Grove St,"{'latitude': 40.7162, 'longitude': -74.04451}",1615,4.0,07302
Nnuz_Ic0IdWOUbl64r4Hkg,Fonda Park Slope,434 7th Ave,"{'latitude': 40.663631439209, 'longitude': -73.9846343994141}",756,4.0,11215
Yilk_Ucz4L6w9EmvAS2gHg,Taqueria Coatzingo,7605 Roosevelt Ave,"{'latitude': 40.7471912668812, 'longitude': -73.8895068500844}",400,4.0,11372
ihzI-4yGesoQuAoIocao8g,Tacuba Hell's Kitchen,802 9th Ave,"{'latitude': 40.76542, 'longitude': -73.98719}",555,4.0,10019
njV8tFM7PivgDhWng_Lb6g,Las Margaritas,7206 3rd Ave,"{'latitude': 40.6333399, 'longitude': -74.02719}",184,4.0,11209
M8YeVFsrlYTvoAU_NFPk5Q,La Slowteria,548 Court St,"{'latitude': 40.675054752231, 'longitude': -73.9995680865082}",214,4.0,11231
uvcEo61aL2F8e4PCzwZsYg,Chihuahua,47-02 Greenpoint Ave,"{'latitude': 40.7425222545862, 'longitude': -73.9176765829325}",126,4.5,11104
Xjswj531-FkRZPpcccU6kQ,Vida Verde,248 W 55th St,"{'latitude': 40.7650089, 'longitude': -73.983215}",781,4.5,10019
jzVv_21473lAMYXIhVbuTA,De Mole Astoria,4220 30th Ave,"{'latitude': 40.7625999, 'longitude': -73.9129028}",341,4.0,11103
uVfOB37NyYEGRs5FITM-nQ,Leyenda,221 Smith St,"{'latitude': 40.68431, 'longitude': -73.99197}",183,4.0,11201
Lq9HxEUrkceCUDut00qlHQ,El Kucho Mexican Restaurant,141 Wilson Ave,"{'latitude': 40.70073, 'longitude': -73.92551}",179,4.0,11237
QH3VbBAf7MlePoaipxT4pA,Taqueria Kermes,66-36 Fresh Pond Rd,"{'latitude': 40.70785, 'longitude': -73.89798}",369,4.0,11385
XipQLDbyTl5tsLlyzAWzug,Jajaja,162 E Broadway,"{'latitude': 40.7141530317142, 'longitude': -73.9904247969389}",625,4.5,10002
Ck09FempamAKGSPsV_bX-A,Xixa,241 S 4th St,"{'latitude': 40.7104, 'longitude': -73.95854}",534,4.5,11211
XjMjGq_2nO1e8pwIq-nEwg,Cantina Mexicana,140 New Dorp Ln,"{'latitude': 40.57359, 'longitude': -74.116153}",80,4.5,10306
4ttqjZMCsfz6X0kQ_KR0xQ,Orale Mexican Kitchen,341 Grove St,"{'latitude': 40.720538, 'longitude': -74.043127}",967,4.0,07302
boRM4i0UQswxQIp6CA9y_A,La Esquina,114 Kenmare St,"{'latitude': 40.721372, 'longitude': -73.997529}",1935,3.5,10012
K4eXKHHG-ycydt7jeZTqSw,Taqueria El Puente,9300 5th Ave,"{'latitude': 40.61667, 'longitude': -74.03052}",105,4.0,11209
DHFEpeJXemrdxIuGGcyurg,De Mole,4502 48th Ave,"{'latitude': 40.7391932, 'longitude': -73.9202624}",590,4.0,11377
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,83 Baxter St,"{'latitude': 40.7166907225542, 'longitude': -73.9999440120647}",1495,4.5,10013
L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,259 Vesey St,"{'latitude': 40.7147356376792, 'longitude': -74.015635}",105,4.0,10282
