Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
MmXZLVwWcYugi_TXSHmjeQ,Sushi by Bou Times Square,132 W 47th St,"{'latitude': 40.75851, 'longitude': -73.98322}",338,4.5,10036
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO,140 W Houston St,"{'latitude': 40.72803, 'longitude': -74.00167}",820,4.5,10012
VaL9GaBR_GR-q9d1VzJF3g,Suteishi,24 Peck Slip,"{'latitude': 40.70788, 'longitude': -74.00194}",449,4.0,10038
MGRo61aHFUeRlWhSbTv2NA,Sushi By M,75 E 4th St,"{'latitude': 40.72666, 'longitude': -73.99027}",135,4.5,10003
itblJyiTY2h2ACidLk66oA,Takahachi,85 Ave A,"{'latitude': 40.725315, 'longitude': -73.984436}",527,4.0,10009
AFt1Qcec4_JNr6PWpkRYyw,Sushi Lin,335 Flatbush Ave,"{'latitude': 40.677786, 'longitude': -73.972591}",204,5.0,11217
3OKf1QQnDhjkBKVg0eMllQ,Sushi Gallery,71 Clark St,"{'latitude': 40.6975970682387, 'longitude': -73.9933660828876}",125,4.5,11201
K54qUgd274Fj_LvHCjeSFw,Okinii,216 Thompson St,"{'latitude': 40.72894, 'longitude': -73.99911}",272,4.0,10012
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,251 W 72nd St,"{'latitude': 40.779583, 'longitude': -73.983482}",1630,4.0,10023
XfHgiIsoo1Pr_v04bx9ptg,Sushumai Asian Fusion,112 Stanton St,"{'latitude': 40.7211610690848, 'longitude': -73.9872866123915}",132,4.5,10002
lxQ-tzFmL1tmUqZUN-CSRQ,Bozu,296 Grand St,"{'latitude': 40.7129, 'longitude': -73.95749}",792,4.0,11211
ZfuZ2byArGq-5j8zX8Afeg,Zest Sushi,249 Broome St,"{'latitude': 40.7178344726563, 'longitude': -73.9899597167969}",758,4.0,10002
zGAQqDu0Ak2khVYs9WdQxw,Sushi Nakazawa,23 Commerce St,"{'latitude': 40.7317465228689, 'longitude': -74.0045493828034}",1242,4.5,10014
6lUsFj0KCao678o9L7QwUw,Hatsuhana Sushi Restaurant,17 E 48th St,"{'latitude': 40.75703, 'longitude': -73.97692}",1185,4.0,10017
BOz0qTUMtAfljd3Vn1rerQ,Pado,199 2nd Ave,"{'latitude': 40.7314, 'longitude': -73.98589}",154,4.5,10003
dskDbpvA0hI_7RjtoL6IKA,SUGARFISH by sushi nozawa,202 Spring St,"{'latitude': 40.72511, 'longitude': -74.00358}",23,4.0,10012
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,"{'latitude': 40.7501853096499, 'longitude': -73.9863203465939}",2014,4.0,10001
p4W_z-zh96LHEAtQ8LRSVQ,Shinagawa,157 E 33rd St,"{'latitude': 40.74549, 'longitude': -73.97935}",30,5.0,10016
1_JEFOI19hAu3VoODcTUvw,Shinsen,44 Bowery,"{'latitude': 40.71558, 'longitude': -73.9967}",135,4.0,10013
pNe8ZCkGTe4cXfKdOF7kYQ,Ise Restaurant,63 Cooper Sq,"{'latitude': 40.7291024, 'longitude': -73.9900618}",356,4.5,10003
nEkVibaTuIFEcTNtltFgJg,Kura,130 St Marks Pl,"{'latitude': 40.726709, 'longitude': -73.9835794}",426,4.5,10009
EVZeqLPpfXrygmgamjD5_w,Takeshi Sushi,28 Grand St,"{'latitude': 40.72294, 'longitude': -74.00464}",31,4.5,10013
